condition_id,experiment_id,platform_id,comparability,workload,model,platform,framework,precision,gpus,batch_size,concurrent_requests,prompt_length,throughput_unit,trials,avg_throughput_tokens_sec,avg_throughput_samples_sec,avg_latency_p50_ms,avg_latency_p95_ms,avg_ttft_p50_ms,avg_queueing_p50_ms,avg_memory_used_gb,avg_energy_joules
E018@h100,E018,h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_h100,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,111.55403761200841,,1146.9635326842156,1151.5580591202404,11.612486695715537,,2.8466796875,19103.868457173387
E018@l40s,E018,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,116.19100336889774,,1101.7191573046148,1104.2493309282388,10.013455214599768,,2.6868489583333335,
E019@h100,E019,h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_h100,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,111.51883240228749,,1148.0772525149707,1150.9537045591667,11.608469493997594,,2.8466796875,19054.26428904005
E019@l40s,E019,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,116.94923909721535,,1094.2234822238486,1099.0944686112925,9.957956460615,,2.666015625,
E023@h100,E023,h100,exact,gpt2_small,gpt2,lovelace_h100,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,289.25973602858886,,442.46632953096804,445.2498064919685,4.883843493492653,,0.9775390625,6208.79475283406
E023@l40s,E023,l40s,exact,gpt2_small,gpt2,lovelace_l40s,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,294.49489293757387,,434.46162645705044,436.9971667338784,4.458553933848937,,0.796875,
E027@h100,E027,h100,exact,distilbert,distilbert-base-uncased,lovelace_h100,pytorch_eager,bf16,1,1,,128,input_tokens_per_second,3,81430.95994462026,636.1793745673458,1.5515803243033588,1.6052467108238488,,,0.8505859375,17.310840587898078
E027@l40s,E027,l40s,exact,distilbert,distilbert-base-uncased,lovelace_l40s,pytorch_eager,bf16,1,1,,128,input_tokens_per_second,3,92464.75341526726,722.3808860567755,1.3681237275401752,1.3954858994111419,,,0.650390625,
E031@h100,E031,h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_h100,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,112.01577109830714,,1142.8007525003825,1147.2054485425663,11.52222283417359,,2.8466796875,18910.020948808637
E031@l40s,E031,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,115.28916608223028,,1110.03693100065,1114.0283834189177,10.066352551802993,,2.666015625,
E087@l40s,E087,l40s,exact,gpt2_small,gpt2,lovelace_l40s,pytorch_eager,fp16,1,1,,128,generated_tokens_per_second,3,287.94169341153116,,440.640349406749,442.8600292808066,4.5207778457552195,,0.818359375,
E088@l40s,E088,l40s,exact,gpt2_small,gpt2,lovelace_l40s,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,295.74674668169615,,432.82404355704784,435.1596777172138,4.4521724339574575,,0.818359375,
E094@l40s,E094,l40s,exact,distilbert,distilbert-base-uncased,lovelace_l40s,pytorch_eager,fp16,1,1,,128,input_tokens_per_second,3,91371.8375971422,713.8424812276735,1.391887276743849,1.423604724307855,,,0.6822916666666666,
E095@l40s,E095,l40s,exact,distilbert,distilbert-base-uncased,lovelace_l40s,pytorch_eager,bf16,1,1,,128,input_tokens_per_second,3,92619.91323311611,723.5930721337196,1.3764762940506141,1.401349847825865,,,0.669921875,
E124@l40s,E124,l40s,exact,gpt2_small,gpt2,lovelace_l40s,pytorch_eager,bf16,1,1,,128,generated_tokens_per_second,3,288.7878168691862,,443.2347245359172,445.6502017565071,4.544049501419067,,0.796875,
E128@l40s,E128,l40s,exact,distilbert,distilbert-base-uncased,lovelace_l40s,pytorch_eager,bf16,1,1,,128,input_tokens_per_second,3,92126.79716233995,719.7406028307809,1.3832217858483393,1.4102758994946878,,,0.6497395833333334,
E129@l40s,E129,l40s,exact,gpt2_small,gpt2,lovelace_l40s,pytorch_eager,bf16,1,1,1,128,generated_tokens_per_second,3,292.2183309966244,,437.9692522343248,440.3730630098532,4.516028411065538,,0.796875,
E130@h100,E130,h100,exact,gpt2_small,gpt2,lovelace_h100,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,356.56028605873394,,358.9954433652262,361.1462400993332,,,72.4326171875,4744.805418753226
E130@l40s,E130,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,368.0324739373372,,347.9195882876714,349.9865612092738,,,41.01953125,
E132@h100,E132,h100,exact,gpt2_small,gpt2,lovelace_h100,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,354.6549438585278,,360.9457869703571,363.6440825920242,,,72.4326171875,4761.451815233254
E132@l40s,E132,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,369.5772794325681,,346.1681471671909,349.13138057260466,,,41.01953125,
E133@h100,E133,h100,exact,gpt2_small,gpt2,lovelace_h100,vllm,bf16,1,2,1,128,generated_tokens_per_second,3,663.2447185221366,,386.2425913102925,388.13644655359286,,,72.4326171875,4984.264344411898
E133@l40s,E133,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,2,1,128,generated_tokens_per_second,3,702.3070177440173,,364.70794848476845,366.9071940239519,,,41.01953125,
E134@h100,E134,h100,exact,gpt2_small,gpt2,lovelace_h100,vllm,bf16,1,4,1,128,generated_tokens_per_second,3,1304.8652126852005,,392.7173043290774,394.6051354364802,,,72.43391927083333,5122.311540924901
E134@l40s,E134,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,4,1,128,generated_tokens_per_second,3,1416.9026272661195,,361.1920917561899,363.39415743326146,,,41.020833333333336,
E135@h100,E135,h100,exact,gpt2_small,gpt2,lovelace_h100,vllm,bf16,1,8,1,128,generated_tokens_per_second,3,2577.3091751606457,,397.45868851120275,399.43209330085665,,,72.4326171875,5341.728672595691
E135@l40s,E135,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,8,1,128,generated_tokens_per_second,3,2765.3488432478493,,370.0920450501144,373.2341847460096,,,41.01953125,
E136@h100,E136,h100,exact,gpt2_small,gpt2,lovelace_h100,vllm,bf16,1,16,1,128,generated_tokens_per_second,3,4955.295503701225,,413.3760795618097,415.5997571224968,,,72.43391927083333,5751.9158908726895
E136@l40s,E136,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,16,1,128,generated_tokens_per_second,3,5348.347404327499,,383.1365345977247,385.358334860454,,,41.01953125,
E137@h100,E137,h100,exact,gpt2_small,gpt2,lovelace_h100,vllm,bf16,1,32,1,128,generated_tokens_per_second,3,9463.19997737861,,432.5780791696161,435.77903081895784,,,72.4365234375,6499.4282243184025
E137@l40s,E137,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,32,1,128,generated_tokens_per_second,3,10262.443171749963,,398.8747831899673,402.23087871757645,,,41.021484375,
E138@l40s,E138,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,368.9497557630613,,346.6400356652836,349.74033278413117,,,41.01953125,
E139@l40s,E139,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,1,2,128,generated_tokens_per_second,3,706.8116248537702,,362.52157754885656,364.5426641528805,,,41.01953125,
E140@l40s,E140,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,1,4,128,generated_tokens_per_second,3,1400.3447376010179,,365.6528385666509,367.588564241305,,,41.021484375,
E141@l40s,E141,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,1,8,128,generated_tokens_per_second,3,2816.369850907802,,363.7729551022251,365.75824027725804,,,41.01953125,
E142@l40s,E142,l40s,exact,gpt2_small,gpt2,lovelace_l40s,vllm,bf16,1,1,16,128,generated_tokens_per_second,3,5425.577227791981,,377.60142136054736,379.78976073209196,,,41.01953125,
